player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
Josh Warren,Cornell,2020,0.086049,1.376790,0.860494,0.000000,4.474568
Jake Toolson,BYU,2020,0.109832,1.208156,2.306479,2.031898,13.124965
Emmitt Holt,Providence,2020,0.137857,0.965000,0.000000,0.137857,2.343572
Torry Johnson,Wake Forest,2020,0.081082,1.135142,0.972978,0.081082,4.459485
Josh Gantz,UMass Lowell,2020,0.000000,0.798985,0.199746,0.000000,1.997463
Dwayne Morgan,Southern Utah,2020,0.209385,3.350160,1.779773,0.104693,10.573943
Dalton Nixon,BYU,2020,0.094907,0.854162,0.664349,0.000000,3.037022
Tashombe Riley,South Carolina St.,2020,0.108745,1.957404,1.848659,0.108745,7.938360
Tulio Da Silva,Missouri St.,2020,0.352447,1.903213,2.890064,0.000000,9.586555
Reilly Walsh,NJIT,2020,0.000000,1.545163,0.243973,0.081324,3.822246
Prentiss Nixon,Iowa St.,2020,0.000000,1.035337,2.618794,0.852631,9.866154
Pierson McAtee,Kansas St.,2020,0.700013,0.700013,0.000000,0.000000,1.400027
Isaiah Maurice,Memphis,2020,0.000000,0.715792,0.238597,0.238597,2.624571
Tyler Hamilton,William & Mary,2020,0.000000,0.805614,0.179025,0.000000,1.969279
Elijah Mitrou-Long,UNLV,2020,0.098789,3.951548,1.086676,1.185464,13.632839
Vincent Eze,Fairfield,2020,0.238206,2.461462,1.191030,0.000000,7.304984
Nate Grimes,Fresno St.,2020,0.580648,2.986188,1.161295,0.331799,9.290361
C.J. Bobbitt,New Mexico St.,2020,0.000000,1.037613,0.576451,0.000000,3.228128
Nick Rutherford,St. John's,2020,0.446642,2.009887,0.669962,0.000000,5.359699
Kimar Williams,Rider,2020,0.000000,3.266172,0.777660,0.000000,8.087664
Eric Hamilton,Pittsburgh,2020,0.236581,1.656065,1.064613,0.000000,5.441355
Dwayne Sutton,Louisville,2020,0.304362,2.252276,0.486979,0.060872,5.661125
Dylan Smith,Arizona,2020,0.135031,1.012731,0.945215,0.270062,4.726077
Dexter McClanahan,Nicholls St.,2020,0.132024,1.716310,2.046369,0.990179,10.495893
Trevor Stumpe,Wofford,2020,0.000000,1.082994,0.360998,0.072200,3.104584
Brevin Pritzl,Wisconsin,2020,0.148997,1.117478,0.744985,0.297994,4.618908
AJ Harris,New Mexico St.,2020,0.000000,7.609150,0.000000,2.536383,22.827450
Mike Watkins,Penn St.,2020,0.618140,3.443921,0.706445,0.000000,8.300733
Tres Tinkle,Oregon St.,2020,0.167564,3.407130,1.117092,0.223418,9.718699
Kendal Manuel,Montana,2020,0.055119,1.433091,2.425230,0.937021,10.527705
Marcus Sheffield II,Elon,2020,0.229960,2.414580,3.621870,1.322270,16.039710
Spencer Haldeman,Northern Iowa,2020,0.000000,0.578836,0.723545,0.723545,4.775395
Louie Pillari,Monmouth,2020,0.169489,1.186424,0.677956,0.338978,4.745695
Scott Meredith,Saint Francis,2020,0.000000,0.483776,0.483776,0.725663,4.112092
Josh Nebo,Texas A&M,2020,0.869978,3.407415,0.507487,0.000000,7.829806
Isaiah Blackmon,Saint Francis,2020,0.398650,3.417000,1.423750,1.082050,12.927650
Stone Gettings,Arizona,2020,0.000000,1.219007,1.422175,0.000000,5.282363
Matej Kavas,Nebraska,2020,0.000000,0.685076,0.856346,0.171269,3.596651
Antonio Green,Middle Tennessee,2020,0.000000,1.125998,0.562999,1.125998,6.755988
Kareem South,California,2020,0.000000,1.719201,1.400830,0.254696,7.004152
Delante Jones,Seattle,2020,0.000000,0.880541,1.210744,0.330203,5.173177
Joshua Patton,Sacramento St.,2020,0.616124,3.465698,1.078217,0.000000,9.087829
Alonzo Walker,Portland St.,2020,0.168336,3.198379,2.020029,0.000000,10.436814
Rosel Hurley,St. Francis NY,2020,0.000000,2.084897,2.316553,0.000000,8.802900
Luke McDonnell,Northern Iowa,2020,0.000000,0.000000,0.000000,0.000000,0.000000
Noah Blackwell,Fresno St.,2020,0.000000,0.599545,0.999241,1.299013,7.094612
Ty Taylor,Eastern Kentucky,2020,0.000000,0.711924,1.588138,0.711924,6.735894
Corey Redman,Central Michigan,2020,0.000000,0.468932,0.000000,0.000000,0.937865
Mickey Mitchell,Arizona St.,2020,0.000000,0.900514,0.000000,0.000000,1.801029
Bakari Evelyn,Iowa,2020,0.000000,0.991663,0.396665,0.396665,3.966651
Michael Jacobson,Iowa St.,2020,0.000000,1.801855,1.729781,0.000000,7.063272
Aaron Falzon,Quinnipiac,2020,0.000000,0.242959,0.728877,0.323945,2.915508
Jordan Ash,Wright St.,2020,0.108910,2.069290,0.544550,0.000000,5.227680
Alex Olesinski,UCLA,2020,0.000000,0.276978,0.000000,0.000000,0.553956
Prince Ali,UCLA,2020,0.390386,1.821801,2.342315,0.390386,9.499389
Ethan Stair,Mercer,2020,0.109954,1.759263,1.154517,0.219908,6.487284
Sam Miller,Charleston,2020,0.000000,1.593443,0.587058,0.000000,4.361003
Ike Smith,Georgia Southern,2020,0.117821,3.122266,1.708409,0.706928,11.782134
Nate Sestina,Kentucky,2020,0.211742,0.741098,0.635227,0.000000,2.752649
Max Hazzard,Arizona,2020,0.000000,1.105636,0.276409,0.552818,4.422544
Joe Mooney,UC Davis,2020,0.000000,2.033393,1.732149,0.753108,9.790410
Rogers Printup,UC Davis,2020,0.000000,0.347340,0.173670,0.000000,1.042020
Ahmad Frost,Maryland Eastern Shore,2020,0.000000,1.095798,1.180090,0.590045,6.321909
Wendell Mitchell,Texas A&M,2020,0.146047,1.533491,0.949304,0.949304,7.813501
Justin Robinson,Duke,2020,1.068867,1.603300,0.000000,0.000000,3.206600
Nathan Bain,Stephen F. Austin,2020,0.204763,2.047633,0.307145,0.000000,4.709557
TJ Holyfield,Texas Tech,2020,0.155695,1.245559,0.155695,0.000000,2.802508
Tyler Underwood,Illinois,2020,0.000000,0.000000,0.000000,0.000000,0.000000
Jonah Radebaugh,Northern Colorado,2020,0.000000,5.527814,1.532463,1.806118,19.538908
Derrick Woods,Saint Peter's,2020,0.000000,3.434890,1.084702,0.000000,9.039183
